Bahasa Ambon,English
ampa kant,adj. rectangular.
ampas,n. particle.
ampas gargaji,n. sawdust.
ampas kasbi,n. cassava meal.
ampas kayu,n. sawdust.
ampas tarigu,n. a small ball-shaped cake made of wheat flower and sugar.
ampong,n. forgiveness. Dia minta ampong. = He asked for forgiveness.
an-ana,see ana-ana.
ana,"n. child. prn. (of a young person) he, she."
ana bawang,n. person who is allowed to go through the motions of something (especially a game) but not taken seriously as a real actor.
ana bakambar,n. twin child or children.
ana bua,"n. follower, crew member. cf. masnait."
ana mantu,n. son-in-law or daughter-in-law.
ana piara,n. foster child.
ana tiri,n. stepchild.
ana yee,n. sideburns.
ana-ana,n. children. cf. ana.
anam,n. and adj. six.
anang,see anam.
anayee,n. sideburn.
ancor,adj and v. be or become disintegrated or crushed. itj. An exclamation of enthusiasm over great embarrasment or confusion.
ancor lele,adv. to the utmost. Katong pi dansa ancor lele! = We went dancing wildly.
ancor-ancor,adv. disintegrating completely.
andarinyo,n. dragonfly.
anemer,building contractor.
anene,n. money (Sawai slang). Also kepeng.
anfal,"n. attack, especially of illness. Ontua dapa anfal tadi malang. = He had an attack last night. v. attack with overwhelming force. Islam anfal Kudamati. = The Moslems attacked Kudamati."
angka,n. school achievement grading. Dia dapa angka sapulu. = He got a grade of ten (100%). v. 1. lift. Angka akang taro di atas bangko. = Lift it onto the bench. 2. appoint. Dong angka ontua jaji raja. = They appointed him chief. 3. institute.
angka hura,v. raise a shout of triumph or joy.
angka nyanyiang,v. raise a song.
angka pela,"v. institute a pela, as between two villages."
angka perjanjiang,v. make a collective vow.
angos,adj. burnt.
angus,see angos.
aniong,n. a twisted piece of cloth usually worn by women under something carried on the head. cf. dulang.
anjing,n. dog
antar,v. accompany.
antawali,"n. A bitter medicinal herb, Tinospora tuberculata (Asilulu)."
antik,n. common sense? An-ana seng pung natik itu. --Roy Sekewael
anting-anting,n. earring.
antua,see ontua.
anyer,adj. having a fishy odor.
anyo,v. drift.
aong,"n. fallow ground where a garden or gardens used to be. cf. ewang. PAN wao, forest, uninhabited land."
apa tempo,adv. when. Apa tempo katong bakudapa? = When will we (ever) meet?
arang,n. charcoal.
arang batu,n. charcoal.
arap,n. Arab. adj. Arabian.
areng-areng,"adv. with no trimmings of any kind, with nothing else. Dia makang nasi areng-areng. = He is eating plain rice."
ari-ari,n. a pole lashed to the outrigger spars of a canoe so as to lie just above and parallel to its gunnel.
arloji,"n. timepiece worn on ones person. cf. lonceng, jam."
arombae,n. large planked canoe having no outriggers. Also belang.
aros,n. current.
aruleng,n. A palm tree.
asal,"n. origin. sbr. as long as. Beta barani, asal se mau saja. = I dare, as long as you want to."
asam jawa,"n. A tree, the tamarind, Tamarindus indica."
asang,adj. sour. cf. spaat.
asar,"v. dry over a fire. Dong ada asar kusu. = They are roasting phalanger meat. adj. baked over a fire. PAN asat, dry out, become dry. asbak, n. ash tray."
asfaal,n. asphault.
asinang,n. A food preserve made from the laxor worm.
astaga,"itj. an exclamation of outrage, admiration, or surprise. Also istaga, astaganaga, astagafirla, astafirallah, etc."
astaganaga,"itj. An exclamation of admiration or surprise. Astaganaga! Sapa yang biking tumpa beta pung sopi? Well, I will be! Who spilled my palm liquor? atap, n. thatch."
ati-ati,v. be careful or on guard.
atiting,"n. a kind of basket woven from bulu patoong and used by women to carry produce home from the fields on their heads. Base diameter is smaller than top diameter. As a general rule, men never pikul atiting."
ator,v. 1. arrange. 2. manage. 3. Take charge.
atorang,"n. rule, rules, especially of social conduct. Laki-laki tar tau atorang = manignorant of the rules of etiquette."
atur,see ator.
au,"itj. an exclamation of disapproval. PAN qau, interjection of pain, surprise, etc."
awang,n. cloud.
awet,"n. youthful, well preserved"
ayah!,"itj. PAN aya, exclamation of annoyance, surprise, etc."
ayang,n. chicken.
ayang segon,"n. A kind of chicken, Gallus spp., with few feathers."
ayer,see aer.
ba-,"ba-, 1. prefix to form abundancy adjectives from nouns. Jalang babatu = rocky path. prefix to form present participles from verbs. Jang balari! = Do not be running around!"
ba-bae,see bae-bae.
baaer,adj. watery.
baak,n. water tank made of concrete or stone.
baan,"n. 1. band, belt. 2. drive belt. 3. conveyance tire made of rubber."
baas,n. boss.
baasap,adj. smoky.
babalu,"v. go on a sago harvesting expedition. Dong ada pii babalu di Serang. = They have gone harvesting sago in Seram. PAN palu?, hit hard. PAN palu, adze."
babasa,adj. wet.
babaso,v. wash clothes. Ata ada pii babaso di aer. = Ata has gone to the stream to wash clothes.
babatu,vi. 1. cough. 2. suffer from a cough. a. rocky.
babengka,see bubengka.
babi,n. 1. pig. 2. pork.
babi fufu,n. smoked pork.
babi kecap,n. a dish prepared from pork and soy sauce.
babintang,adj. splotched.
babintol,adj. having bumps.
babostok,"adj. banged up, as the face after a beating. --Roy Sekewael."
babua,v. bear fruit. adj. muscular. Ontua badang babua satu. = A very muscular old man.
babulu,"adj. hairy, fuzzy, furry."
babunga,"v. bloom. adj. 1. flowery. 2. striped, spotted, variegated."
babunyi,"v. make a noise, generate sound."
bacampor,v. meddle. Ana kacil jang bacampor deng orang to-tua pung urusang = Little children do not meddle in adult affairs.
bacang,n. A mango tree. Also kuini.
bacebo,v. wash the anus. cf. cebo.
bacere,v. divorce.
baciong,adj. be continually kissing.
bacubi,v. pinch. Jang suka bacubi talalu! = Do not be in the habit of pincing so much.
bacucu,v. have grandchildren. Ontua seng bacucu. = She has no grandchildren.
badaa,n. cosmetic face powder.
badaa dinging,n. a kind of powder mixed with water and applied to the face where it is left to dry.
badagang,v. engage in business or trade.
badaki,"adj. having body dirt, soild. An-ana badaki. = Children having body dirt (unbathed children)."
badame,vi. make peace.
badang,n. body.
badang-dua,n. American P-38 fighter airplane.
badara,v. bleeding. adj. bloody.
badati,v. (of a group of people) all contribute and pool resources for some purpose.
badendang,v. sing while dancing.
badiri,v. 1. stand up. 2. remain standing.
badonci,v. sing verses (usually in a group).
baduri,"adj. thorny, prickly, spiny."
bae,"adj. good. Orang itu bae ka seng? = Is that man good or not? prp. whether. Bae beta, bae ose, sama saja. = Whether you or me, it is the same."
bae-bae,v. beware. Bae-bae jang . = Beware lest . adj. okay. Beta ada bae-bae. = I am okay. adv. carefully. Bajalang bae-bae jang jatu. = Walk carefully lest you fall.
bagadang,v. remain awake. Also matawana.
bagajinjang,v. carry out youthful folly. O bagajinjang lawang. = You certainly are planting a lot of wild oats. --Roy Sekewael (Oma).
baganggo,see baganggu.
baganggu,v. 1. tease. 2. stir each other up.
bagaraa,"v. 1. make a physical movement. Dia pung tangang bagaraa. = His hand moved. 2. budge. Katong tola akang, mar akang tar bagara. = We pushed it, but it did not budge."
bagasi,n. 1. baggage. 2. baggage compartment of an automobile.
bagataa,adj. sticky. cf. gataa.
bagatal,adj itchy. vrb. itch.
bage,v. divide up.
bagea,"n. a small, brittle, dome-shaped cake made of sago meal and kanari nuts."
bageang,n. part. Beta pung bageang. = My part. Bageang mana? = What part?
bagemana,adv. how.
bagini,"adv. 1. like this. 2. at or by this time. Bagini lae dia su sampe di Ambong. = By now he has already reached Ambon. 3. By now. Word used to mark the end of subjunctive clauses. Kal jang beta, bagini se su mati = Had it not been for me, by now you would be dead."
bagitu,"adv. 1. like that, in that way. 2. as soon as. Bagitu matahari nae, taruus dong bajalang. = As soon as the sun was up, they started walking. ""Bagini"" is also used in the same way, but ""bagitu"" is the more common."
bagus,adj. 1. pretty. itj. good!
bagus-bagus,adv. nicely.
bahalaa,"adj. awesome, awesomely big, huge. Ikang bahalaa saekor. = An awesomely big fish."
bahela,vi. be dragging. Dong manyanyi bahela lawang! = They really do drag their songs out! Ontua stori bahela = He drawls.
bahool,adj. convex or concave.
bahroteng,n. estimated cost.
bai,see bae.
bai-bai,see bae-bae.
baiko,vi. be following (someone) about.
baikole,"n. A white-breasted, dark blue bird which dances on roofs and is distinguished by its song. This bird symbolizes agility in Maluku."
Baikole,n. The name of a famous ancient warrior.
bailele,"n. in Ternate, the yelling noise of oarsmen or fighters, with which they express their joy and produce an artificial excitement. --de Clercq. vt. punish by forcing to walk along a path along which rattan whips have been placed for the people to whip the offender (someone who has trespassed traditio"
baileo,"n. traditional open meeting house, usually equipped with a drum."
bajajar,adj. in a row. Also bakujajar.
bajalang,"v. walk. prp. 1. by way of, via. Ontua pi Ambong bajalang Passo, He went to Ambon by way of Passo. 2. on, as in ""on foot."" Bajalang kaki, On foot."
bajalang raba,v. 1. walk in the dark. 2. walk without really knowing the way.
bajambang,"adj. whiskered, bearded."
bajangke,adj. contageous.
baji,n. wedge.
bajingang,adj. 1. very handsome. Spitboot bajingang satu. = A very handsome speedboat. Laki-laki bajingang satu. = A very handsome man. 2. philandering. Jang talalu bajingang. = Do not philander so much.
bajo kaos kutang,n. singlet.
baju,"n. 1. shirt, blouse. 2. dress."
baju kous,n. teeshirt.
baju kurung,n. traditional dress
bajumor,vi. expose skin to direct sunlight. Jang suka bajumor talalu! Do not keep sunning yourself too much!
bajuneet,n. bayonet.
bak pau,n. Chinese dumpling.
bakaal,"n. provisions, packed lunched."
bakabas,"v. 1. thrash about. 2. flap the wings violently, as if to keep from being caught. Mangapa ayang bakabaas? = Why is (the) chicken flapping its wings?. 3. Shake the body violently, as a dog to shake off water."
bakaca,v. examine oneself in the mirror. cf. balobe.
bakalae,v. 1. quarrel. 2. fight.
bakalai,see bakalae.
bakamabar,adj. 1. twin. Ana bakambar = twin children. 2. (of fruit) having two parts or compartments instead of one.
bakar,v. 1. burn (something). 2. light (something).
bakarang,v. remain for an inordinately long time. Mandi capat sadiki. Jang bakarang di kamar mandi. = Bathe a little faster. Do not stay in the bathroom so long.
bakarat,adj and v. be or become rusty.
bakasang,n. a food.
bakat,n. confused and breaking seas.
bake,n. tray.
baki,n. see bake.
bakira,"v. 1. begin. Bakira makang jua. = Go ahead and start eating. 2. depart, begin a journey. Dong dua su bakira. = The two of them have begun their journey."
bakol,n. a kind of round basket woven from strands taken from inside rattan vines.
bakore,v. be poking around. Jang bakore sabarang! = Do not be poking around where you are not supposed to!
baku manginte,v. 1. look after each other. 2. look in on each other.
baku-,Prefix to form reciprocal verbs. Bakupukul = fight each other.
bakuat,v. exert oneself.
bakuator,v. work things out. Nanti kong dong dua baku ator jua. = The two of them will just have to work things out.
bakubage,v. divide up. Dong dua bakubage harta. = The two of them divided up their wealth between themselves.
bakubisi-bisi,v. whisper to each other.
bakubor,v. be buried.
bakubunu,v. kill each other.
bakubur,see bakubur.
bakucabar,v. challenge each other.
bakucabu,v. attack each other physically.
bakuciong,v. kiss each other.
bakucubi,v. pinch each other.
bakucuki,"v. (vulgar) have sexual intercourse, copulate. Dong dua bakucuki di bawa pohong baringing. = The two of them were having sex under the banyan tree. cf. bakunae, bakutarika."
bakudapa,v. meet. Dong dua bakudapa di utang. - The two of them met in the forest.
bakufalungku,v. box each other. Also bakutumbu.
bakuganggu,v. tease each other.
bakugili-gili,v. tickle each other.
bakuiko,v. chase each other. adv. one after the other. Dong bajalang bakuiko. = They walked in single file.
bakujaga,v. lie in wait for one another.
bakujajar,see bajajar.
bakul,n. see bakol.
bakula,v. mold. Nanti akang bakula. = It will mold. adj. moldy. Baju itu su bakula. = That shirt has gotten moldy.
bakulia,v. 1. see each other. 2. look at each other.
bakuluur,v. spie on each other
bakumanyabong,vt. fight (chickens). Katoong pi kasi bakumanyabong ayang. = Let us go fight cocks.
bakumara,v. be or become angry at each other.
bakunae,v. (vulgar) have sexual intercourse. Dong dua bakunae di atas tampa. = They were having sex on the bed. cf. bakucuki.
bakupolo,"v. hug each other, embrace."
bakupotong,v. hack at each other as with swords.
bakurabe,v. tear into each other.
bakurekeng,v. come to an agreement over accounts.
bakusanang,v. be happy with each other.
bakusayang,"v. feel sympathy and affection for each other, especially as young lovers do."
bakusengaja,v. kid each other.
bakusoso,v. be crowded very close to gether. adv. wedged in tightly together. Dong dudu bakusoso dalang oto. = They sat wedged tightly into the car.
bakutamang,v. be comrades. Also batamaang.
bakutampeleng,v. slap each other across the cheek or alongside the head.
bakutanya,v. interrogate each other.
bakutarika,"v. 1. become entangled with each other. 2. (vulgar) copulate, have sexual intercourse. cf. bakucuki."
bakutaro,v. compete. Mari katoong bakutaro lari. = Let us race.
bakutengada,v. face each other. Rumah dua batangada. = The two houses faced each other.
bakuti,"v. throb, flick repeatedly."
bakutikang,v. 1. fight each other with spears or daggers. 2. copulate.
bakutoki,"v. 1. knock into each other, 2. knock each others heads."
bakutorana,v. Thrust at each other with poles.
bakutukar,v. exchange.
bakutumbu,v. box each other. Also bakufalungku.
bakutunggu,v. wait for each other.
bakuu,"v. harden, solidify, clot."
balaa,vt. 1. split. 2. drive home a punch with the fist. Beta balaa satu kali mati! = I struck him dead with one blow!
balaas,v. and adj. be or become blistered.
balabor,"adj. besmeared with something sticky. adv. besmearing. Jang makang balabor. = Do not smear your food on things while you eat. cf. labor. PAN balabur, blurred, of vision."
balabu,"v. 1. anchor. Taruus kapal balabu. = Then the ship anchored. 2. lie at anchor. Kapal ada balabu di Namlea. = The ship is anchored at Namlea. 3. remain together, hang out. An-ana suka balabu di Tete Eca pung ruma. = The kids like to hang out at Grandpa Ecas house."
balacang,n. a Malay spice made from fermented shrimp. Also tarasi.
balaco,n. white muslin.
balacu,see balaco.
balaga,v. show off. adj. sho-off. Laki-laki balaga = boy or man who likes to show off.
balagu,"v. capricious, fastidious, moody. PAN lagu, way, manner; melody."
balajar,"v. study, learn."
balak,"n. dressed timber, especially one of about 4x4 inches in section."
balakang,"n. 1. back. Di balakang ruma = in back of the house. 2. anatomical back. Ontua balakang bongko. = Hunchbacked old man. PAN balaka9, hips."
balakang-balakang,adv. lately.
Balanda,n. Dutchman. adj. Dutch.
Balanda keju,n. (pejorative) cheese Dutchman.
Balanda mabo,n. (pejorative) drunken Dutchman.
Balanda potong kapala,"n. Dutch headhunter. It was strongly believed among Ambonese that the Dutch engaged in secret headhunting operations, and that the Dutch required human heads to lay under the cornerstones of public buildings."
balandong,v. (of water) lie in a puddle. Also batalaga
balari,vrb. and adj. be running about. An-ana talalo balari. = The children are running back and forth too much.
balas,n. ballast. v. reciprocate.
balau,n. blue dye used during washing to whiten clothes. adj. blue. cf. biru.
balayar,v. sail. Katoong balayar hari Rabu. = We sail on wednesday.
bale,v. 1. turn over. Bale ikang di para2. = Turn the fish over on the smoke rack. 2. turn oneself. Dia bale ka kiri. = He turned (himself or his head) to the left. 3. return. Dia su bale ka baloong? = Has he returned? 4. change. Akang bale jadi ular. = It changed into a snake.
bale-bale,"vi. take a siesta. vt. 1. turn over repeatedly, as in a frying pan. 2. cause not to see, as by sleight of hand. Bale-bale dong pung mata. = Make them unable to see using magical means."
bale-bale mata,n. a kind of magic used to make oneself invisible.
balee,v. wind. Bale tali di kayu bua. = Wind (the) rope on (the) pole.
baleek,n. tin can.
baleja,adj. covered with a sticky substance.
balender,"adj. covered with a wet, sticky substance."
balenggang,"v. swinging the arms while walking. adj. uneven, hanging down in one place. Kaeng balenggang = Sarong hanging unevenly about the body. adv. swinging the arms."
balengkar,v. 1. rummage. 2. rummage for (something). Se ada balengkar apa di jiko tu? = What are you rumaging for there in the corner? Also bolengkar.
balerang,n. sulfur.
balimbing,"n. carambola or star-fruit, the five-cornered, acidic fruit of the Averrhoa carambola. PAN bali9bi9, a tree and its edible fruit: %Averrhoa."
balimbing asang,"n. small, elongated fruits used as a souring agent in sauces and relishes, bilimbi, Averrhoa bilimbi."
balisa,v. feel sad.
balobe,v. 1. go fishing in the tide pools or streams with a sharp object and a torch. Dia ada pii balobe ikang. = He has gone torch fishing. 2. look at oneself in the mirror. Jang talalu balobe lama2 di muka kaca. = Do not spend so much time in front of the mirror.
balobo,"n. a fish, the river garfish, Hyporhamphus ardelio."
balompa,v. 1. jump. Dia balompa dari atas batu. = He jumped off the rock. 2. jump over. Dia balompa tali. = She jumped over the rope.
balook,"n. block, pully."
baloong,adv. not yet.
baloong-baloong,adv. not yet after an inordinately long time. Hei! Nasi tu balong-baloong lae? Hey! Is that rice still not ready?
balu,"n. widower, widow."
balubang,adj. holed.
balubang,see balobang.
baluda,"vi. be spitting, spit repeatedly. Ontua itu suka baluda. = That old man likes to spit (has a habit of spitting)."
baluntas,"n. A medicinal plant, Pluchea indica."
bamaki,v. utter epithets and curses.
bamara,v. continually scold.
bameti,"v. to gather food animals (such as mussels and crabs) from the beach at low tide. PAN qeti, go fishing; fish at low tide(?)"
baminta,adj. be asking for things. Jang baminta talalu. = Do not keep asking for things.
baminya,adj. oily.
bamulu,v. talk too much
ban dalam,see binnen baan.
banaang,"n. thread, fine string. PAN banae9, thread, yarn."
banafas,see banapas.
banana,adj. pussy
banang galaas,n. string to which glass powder has been glued for kite fighting.
banang raja,n. rainbow.
banapas,v. breath.
bandera,n. flag. Also mandera.
bandiit,n. bandit.
baner,"n. large, exposed tree root."
bangk,n. (financial) bank.
bangka,v. to swell. adj. swollen.
bangkawang,"n. numerical coefficient for pieces of thatch. Also lirang. PAN kawa9, apart, separated."
bangke,n. dead body. cf. mayat.
bangko,n. bench.
bangkrut,adj. bankrupt.
bangku,see bangko.
bangsa,n. 1. race. 2. species.
bangskrup,n. vice (the tool).
baniang,n. a kind of shirt once worn in Maluku. cf. kabaya dangsa.
bantal,n. pillow or cushion.
bantal kapala,n. pillow.
bantal parau,"n. the wooden bracket that holds an outrigger spar on a canoe. (may be ""bantal najong"")"
bantal polo,n. bolster (placed between the legs for sleeping). Also guling.
bapa,n. father. Often used as a form of address. Bapa Raja = Lord Chief. Syn. papa. Ant. mama.
bapa bongso,n. fathers younger brother.
bapa hati,itj. for goodness sake!
bapa kamponang,itj. for crying in the night!
bapa mantu,n. father-in-law.
bapa piara,n. foster father.
bapa tiri,n. stepfather.
bapa tua,n. fathers older brother.
bapa tuang,"n. Lord Father (used deprecatingly, as in addressing a boy). Jang bagitu Bapa Tuang e! = Please do not be like that dear Bapa Tuang!"
bapake,v. 1. dress up. Dia bapake bagus. = She dresses nicely. 2. employ magical powers.
bapantong,v. exchanging pantongs.
bapapang,vi. become habitual.
bapinggang,adj. having a pronounced and slim waist.
baputar,v. turning.
bara,n. hot ember.
baraas,n. uncooked rice.
baraba,adj. be using the fingers to grope or fondle (especially in private places).
barampa,"v. meddle. Se jang barampa sabarang nanti dong pukul se. Do not meddle, or they will hit you."
barampas,v. engage in taking things by force.
barana,v. give birth. Ada parampuang barana. = A woman is giving birth.
barang,"n. property, possession. Beta pung barang. = My property. adv. about. Ambel barang tiga. = Take about three (of them). sbr. because. Tolong cucu nene pung jarong do, barang nene pung mata su kabor. = Please thread Grandmas needle, because her eyes are clouded."
barang-barang,"barang-barang, n. goods. Ence ada ator barang-barang di toko. - The Chinese shopkeeper is arranging his goods in the store."
barangkat,"v. set out upon a journey, leave."
barangko,v. take all. Su seng ada anggrek di utang lai. Orang-orangsu barangko akang. = There are no more orchids in the forest. People have taken all of them.
barani,v. dare (to do something). adj. daring.
barapa,prn. how much or how many.
barasa,v. 1. taste as if tainted with. Aer ini barasa minya tana. = This water tastes like it was tainted by kerosene. to feel intuitively. Ontua barasa. = He knew intuitivel
Barat,n. European.
barat,n. west wind. adj. west.
bardaya,n. the usually violent southwest wind.
bardosa,adj. sinful. itj. exclamation of calamity.
bareet,n. 1. soldier of the RMS. 2. beret.
barekeng,v. calculate. Jang sala barekeng. = Do not miscalculate. cf. rekeng.
barenti,v. stop. Also stoop.
baress,n. bed of the type built in walang shelters.
baribot,"v. be noisy, make noise."
baringing,see pohong baringing.
baringos,"v. be afflicted with excess nasal mucus, as during a cold."
barliang,n. diamond.
barmaeng,"v. 1. play. 2. do repeatedly, especially as part of some strategy. Ontua barmaeng luur dari atas tembok. He employed the strategy of peeping over the wall."
barmaeng mata,v. use oness eyes for purposes of sexual attraction.
barnaang,v. swim.
baroba,v. 1. medicate. Baroba akang deng salaf. = Medicate it with salve. 2. receive medical treatment. Dia ada pi baroba di ruma saki. = He has gone to receive treatment at the hospital. 3. change. Akang baroba jaji kopu-kopu. = It turned into a butterfly.
barsii,adj. clean.
baru,"n. A yellow flowering shore tree with large round leaves, the beach hibiscus, Hibiscus tiliaceus. adj. new. adv. only, just. Itu baru lima. = That is only five. seq. and then. Dia dudu, baru dia bicara. = He sat down, and then he spoke."
baru,adv. recently. Cf. tempo hari.
barudel,see bruder.
barutang,v. owe.
basa,v. wet. adj. 1. wet. 2. wet with blood. Beta pukul satu kali basa! = I struck (him) and immediately he was wet with blood.
basaar,"vi. 1. expand, get bigger. 2. grow up, mature. Beta basaar di Ambong. = I grew up in Ambon. adj. 1. big. 2. important. This word is often used humorously and pejoratively. Nona bassar tar mau kas makang ayam = (This) big girl (big boss girl) will not stoop to feeding the chickens."
basai,v. sit anywhere without regard for propriety.
basambunyi,vi. hide. Ada ular basambunyi di rumpu-rumpu. = A snake is hiding in the grass. cf. sambunyi. cf. sambunyi.
basangaja,v. jest.
basangka,vi. be suspicious.
basaroo,vi. sing a certain kind of chant
basena,v. walk back and forth.
basi,"adj. stale, tainted (of rice and certain other foods). cf. melek."
baso,n. a Javanese soup dish. v. wash. Pi baso akang di aer. = Go wash it in the stream.
basombayang,v. pray.
basoso,vi. crowd together.
basteel,"v. dress up, put on airs. cf. steel."
basudara,v. related by family. Dong itu samua orang basudara. = All of them are related by family.
basuet,vi. be sweaty.
basumpa,v. take the marriage vow.
basuru,vi. be bossy. Jang ose basuru talalu! = You quit being so bossy!
basuwet,adj. sweaty.
batai,adj. corroded.
batai besi,adj. rusty.
batalaga,see balandong.
bataloor,v. lay (an egg).
batamang,"v. keep company with each other, be companions. cf. bakutamaang."
batamu,"v. visit, go calling. Tete ada pi batamu di Nona. Grandpa has gone calling on Nona."
batanang,v. be planting (an agricultural crop).
batang,n. 1. trunk (of a tree). 2. numerical coefficient for rods. 3. bulky part of an elongate object.
batang kayu,"n. fallen tree trunk, log."
batang kepala,n. the back of the head.
batang leher,n. the back of the neck.
batarea,v. 1. shout at. Batarea dia dolo. = Shout to him (to get his attention). 2. cry out in fear or pain. Dapa lia ular satu kali batarea. = (She) saw the snake and cried out.
batarei,n. dry-cell battery. Also batu senter.
bataria,see batarea.
bataro,"v. 1. agree to compete. Dong dua bataro lari. = The two of them agreed to have a foot race. 2. bet, wager. Ontua bataro saribu. = He bet a thousand."
baterek,v. tease. Also baganggu. cf. terek.
batingka,v. put on airs.
batong,prn. see katong.
batongka,v. prop self up.
batoong,n. stucco. Ruma batoong = stucco house.
batu,n. 1. rock. 2. stone. adj. made of cement. Ruma batu = house made using cement.
batu anyo,n. pumice.
batu api,n. flint.
batu bacang,n. soapstone.
batu cobe,see cobe.
batu goso,n. whetstone.
batu gurinda,n. rotary grind stone.
batu kacang,n. fine gravel.
batu kapala,n. top and back part of skull.
batu karikel,n. gravel.
batu sao,n. anchor stone.
batu senter,n. flashlight battery. Also batarei.
batulang,adj. bony. Ikang batulang = bony fish.
batumbu,v. 1. sprout. 2. grow. Rumpu yang batumbu di kaki aer. = The grass growing at the river mouth.
baukup,vi. inhale steam so as to clear the nasal passages using a pan or wok of boiling water fresh from the fire. Ontua ada baukup di dapor. = He is sitting in the kitchen inhaling steam with a blanket over his head and a pot of very hot water.
bausprit,n. bow sprit of a sailing vessel.
baut,"v. (of a sailing vessel) come about, tack."
bawang,"n. onion, shallot, or any onion-like plant."
bawang mera,n. shallot.
bawang puti,n. garlic.
bawang Timor,"n. A red or white, somewhat large shallot said to come from Timor."
be-,prn. I. Be seng mau. = I do not want to. (A short form of beta).
bebe,n. duck
bedeng,n. special nursery plant bed.
beeng,"gdt. my (contraction of ""beta pung""). Also betang."
beha,n. brassiere.
bel,n. bell.
belang,see arombae.
belang-belang,adj. striped.
bembeng,"vt. carry slung from the hand. Also rembeng. PAN bi9bi9, carry in the hand."
bera,v. defecate.
berang,n. very bright red cloth.
berengsek,adj. (of people) no good.
berkat,n. blessing.
besi,"n. iron, steel."
besi barani,n. magnet.
besi coor,n. re-bar (reenforcement bar for concrete construction).
besi puti,n. stainless steel.
besloit,n. comission (usually in the form of a paper document).
beso,adv. tomorrow. Also eso. Ant kalamareng. cf. lusa.
beta,"prn. I, me."
